Set_Name,Theme,Pieces,Price,Pages,Unique_Pieces,build_type
Jay - Dragon Master,NINJAGO,92.0,14.99,48.0,53.0,other
Airport,DUPLO,29.0,24.99,20.0,24.0,other
Minecraft Alex BigFig with Chicken,Minecraft,160.0,14.99,40.0,70.0,other
Cherry Picker,Technic,155.0,9.99,40.0,51.0,other
Molten Man Battle,Spider-Man,294.0,29.99,76.0,117.0,other
Spider-Man Car Chase,Marvel,52.0,9.99,36.0,38.0,transport
J.B.'s Ghost Lab,Hidden Side,174.0,19.99,64.0,104.0,building
Hoth Generator Attack,Star Wars,235.0,29.99,68.0,101.0,other
Kylo Ren,Star Wars,130.0,9.99,40.0,50.0,other
Kayak Adventure,City,84.0,9.99,36.0,48.0,transport
Plane,DUPLO,12.0,9.99,10.0,11.0,transport
Airshow Jet,City,87.0,9.99,56.0,53.0,transport
Sith Infiltrator Microfighter,Star Wars,92.0,9.99,40.0,45.0,transport
Star-Lord,BrickHeadz,113.0,9.99,40.0,51.0,other
Dock Side Fire,City,97.0,19.99,48.0,63.0,building
Graveyard Mystery,Hidden Side,335.0,29.99,112.0,160.0,other
Fire Helicopter Response,City,93.0,29.99,44.0,61.0,transport
Hungarian Horntail Triwizard Challenge,Harry Potter,265.0,29.99,52.0,101.0,other
Elsa and the Reindeer Carriage,LEGO Frozen 2,116.0,29.99,72.0,78.0,other
Racing Cars,City,190.0,29.99,84.0,101.0,transport
Ultrakatty & Warrior Lucy!,THE LEGO MOVIE 2,348.0,29.99,92.0,119.0,other
Lonesome Flats Raft Adventure,Trolls World Tour,159.0,29.99,100.0,110.0,other
Cinderella's Castle Celebration,Disney,168.0,29.99,100.0,96.0,building
Wrecked Shrimp Boat,Hidden Side,310.0,29.99,108.0,150.0,transport
Jay and Lloyd's Velocity Racers,NINJAGO,322.0,29.99,148.0,142.0,other
Underwater Loop,Friends,389.0,29.99,76.0,165.0,other
Fire Chief Response Truck,City,201.0,29.99,84.0,98.0,transport
Windows of Creativity,Classic,450.0,29.99,85.0,153.0,other
Rover Testing Drive,City,202.0,29.99,96.0,98.0,other
Shuricopter,NINJAGO,361.0,29.99,100.0,163.0,other
The Blaze Bridge,Minecraft,372.0,29.99,108.0,127.0,other
2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,Speed Champions,478.0,29.99,124.0,159.0,transport
Hanzo vs. Genji,Overwatch,197.0,19.99,60.0,84.0,other
Resistance A-wing Starfighter,Star Wars,269.0,29.99,84.0,112.0,transport
Mia's Organic Food Market,Friends,115.0,19.99,56.0,70.0,building
Poppy's Air Balloon Adventure,Trolls World Tour,250.0,29.99,68.0,121.0,other
Bracelet Mega Pack,DOTS,300.0,24.99,2.0,39.0,other
First Order TIE Fighter Microfighter,Star Wars,91.0,9.99,40.0,47.0,transport
Nya - Spinjitzu Master,NINJAGO,69.0,9.99,32.0,43.0,other
Pteranodon Escape,Juniors,84.0,19.99,56.0,60.0,other
The Pillager Outpost,Minecraft,303.0,29.99,68.0,94.0,other
The Menace of Mysterio,Marvel,163.0,29.99,128.0,97.0,other
Minecraft Skeleton BigFig with Magma Cube,Minecraft,142.0,14.99,40.0,56.0,other
Monster Truck,City,192.0,19.99,76.0,76.0,transport
Brick Box,DUPLO,65.0,29.99,20.0,46.0,other
Police Highway Arrest,City,185.0,29.99,108.0,98.0,other
My First Animal Brick Box,DUPLO,34.0,29.99,9.0,29.0,other
Super Heroes Lab,DUPLO,30.0,29.99,16.0,23.0,building
Gamer's Market,NINJAGO,218.0,29.99,64.0,133.0,building
Nature Glamping,Friends,241.0,29.99,72.0,110.0,other
Empire Dragon,NINJAGO,286.0,29.99,80.0,118.0,other
Olivia's Cupcake Cafe,Friends,335.0,29.99,100.0,185.0,other
Race Boat Transporter,City,238.0,29.99,124.0,123.0,transport
Wild River Escape,City,126.0,19.99,56.0,71.0,other
Service & Care Truck,Friends,247.0,19.99,84.0,123.0,transport
War Machine Buster,Marvel,362.0,34.99,64.0,122.0,other
El Fuego's Stunt Truck,Hidden Side,428.0,39.99,156.0,198.0,transport
Anakin's Jedi Starfighter,Star Wars,247.0,19.99,84.0,111.0,transport
The Golden Dragon,NINJAGO,171.0,19.99,60.0,74.0,other
Tatooine Battle Pack,Star Wars,97.0,14.99,36.0,53.0,other
Obi-Wan's Hut,Star Wars,200.0,29.99,68.0,118.0,other
Mythical Creatures,Creator 3-in-1,223.0,14.99,189.0,66.0,other
Heart Box Friendship Pack,Friends,199.0,19.99,60.0,90.0,other
RV Vacation,Disney,178.0,34.99,72.0,106.0,transport
Mighty Micros: Thor vs. Loki,Marvel,79.0,9.99,7.0,47.0,other
Duel on Starkiller Base,Star Wars,191.0,19.99,68.0,83.0,other
Stephanie's Bedroom,Friends,95.0,9.99,44.0,72.0,other
Race Plane,Creator 3-in-1,333.0,29.99,200.0,134.0,transport
Action Battle Endor Assault,Star Wars,193.0,29.99,64.0,108.0,other
Ski Speeder vs. First Order Walker Microfighters,Star Wars,216.0,19.99,92.0,94.0,transport
Anakin's Podracer Â 20th Anniversary Edition,Star Wars,279.0,29.99,84.0,110.0,transport
Spinjitzu Jay,NINJAGO,97.0,9.99,32.0,23.0,other
Spinjitzu Cole,NINJAGO,117.0,9.99,32.0,26.0,other
Dilophosaurus on the Loose,Jurassic World,168.0,19.99,60.0,88.0,other
Minecraft Steve BigFig with Parrot,Minecraft,159.0,14.99,40.0,74.0,other
Luke Skywalker's Landspeeder,Star Wars,236.0,29.99,72.0,104.0,transport
Jay - Spinjitzu Master,NINJAGO,68.0,9.99,32.0,39.0,other
Spinjitzu Nya & Wu,NINJAGO,227.0,19.99,56.0,49.0,other
Aragog's Lair,Harry Potter,157.0,14.99,56.0,82.0,other
Anakin's Jedi Interceptor,Star Wars,248.0,29.99,68.0,100.0,transport
A-Wing vs. TIE Silencer Microfighters,Star Wars,188.0,19.99,72.0,88.0,other
Velociraptor: Biplane Rescue Mission,Jurassic World,101.0,29.99,76.0,72.0,transport
Forbidden Forest: Umbridge's Encounter,Harry Potter,253.0,29.99,84.0,121.0,other
Spiderjet vs. Venom Mech,Marvel,371.0,29.99,84.0,136.0,other
El Fuego's Stunt Plane,Hidden Side,295.0,29.99,92.0,149.0,transport
Newbury Subway,Hidden Side,348.0,29.99,108.0,146.0,other
Emma's Fashion Shop,Friends,343.0,29.99,112.0,152.0,building
Panda Jungle Tree House,Friends,265.0,29.99,120.0,149.0,building
Formula E Panasonic Jaguar Racing GEN2 Car & Jaguar I-PACE eTROPHY,Speed Champions,565.0,29.99,128.0,186.0,transport
BASH!,Technic,139.0,19.99,127.0,46.0,other
Bakery,DUPLO,46.0,34.99,20.0,33.0,other
Police Station,DUPLO,38.0,29.99,22.0,25.0,building
Kai - Spinjitzu Master,NINJAGO,61.0,9.99,32.0,33.0,other
First Order Specialists Battle Pack,Star Wars,108.0,14.99,36.0,48.0,other
X-wing Starfighter Trench Run,Star Wars,132.0,29.99,64.0,65.0,transport
Supernatural Race Car,Hidden Side,244.0,29.99,80.0,115.0,transport
Spinjitzu Kai,NINJAGO,97.0,9.99,32.0,23.0,other
Ariel's Underwater Concert,Juniors,92.0,14.99,40.0,55.0,other
Emmet and Lucy's Visitors from the DUPLO Planet,THE LEGO MOVIE 2,53.0,29.99,25.0,37.0,other
Ford Fiesta M-Sport WRC,Speed Champions,203.0,14.99,60.0,88.0,transport
Off-Road Chase,City,37.0,6.99,20.0,28.0,other
Queen Watevra's Build Whatever Box!,THE LEGO MOVIE 2,455.0,39.99,262.0,112.0,other
Turtles Rescue Mission,Friends,225.0,19.99,72.0,125.0,other
Parachute Arrest,City,218.0,39.99,120.0,139.0,other
City Advent Calendar,City,234.0,29.99,3.0,161.0,other
Pteranodon Chase,Jurassic World,126.0,19.99,44.0,68.0,other
Dolphins Rescue Mission,Friends,363.0,39.99,116.0,192.0,other
Spider-Man Bike Rescue,Marvel,235.0,19.99,92.0,98.0,transport
People Pack - Fun Fair,City,183.0,39.99,64.0,138.0,other
Elsa's Jewellery Box,LEGO Frozen 2,300.0,39.99,96.0,89.0,other
Ninja Tuner Car,NINJAGO,419.0,39.99,108.0,143.0,transport
Mars Research Shuttle,City,273.0,39.99,160.0,135.0,transport
The Knight Bus,Harry Potter,403.0,39.99,84.0,128.0,transport
Fire Fang,NINJAGO,463.0,39.99,88.0,175.0,other
My First Emotions,DUPLO,28.0,19.99,9.0,24.0,other
Batman: The Attack of the Talons,Batman,155.0,19.99,60.0,82.0,other
Buzz & Woody's Carnival Mania!,Disney,230.0,49.99,52.0,106.0,other
Volcano Rock City Concert,Trolls World Tour,387.0,39.99,120.0,175.0,other
Stephanie's Buggy & Trailer ,Friends,166.0,19.99,48.0,97.0,transport
Road Repair Truck,Juniors,73.0,9.99,32.0,50.0,transport
Heartlake City Supermarket,Friends,140.0,29.99,68.0,90.0,other
Katana V11,NINJAGO,257.0,19.99,84.0,111.0,other
Elastigirl's Rooftop Pursuit,Juniors,95.0,19.99,64.0,77.0,other
Rescue Helicopter,Technic,325.0,39.99,181.0,81.0,transport
Belle's Story Time,Juniors,87.0,14.99,44.0,66.0,other
Thanos,BrickHeadz,105.0,9.99,32.0,37.0,other
Spider-Man vs. Scorpion Street Showdown,Marvel,125.0,19.99,64.0,82.0,other
City Advent Calendar,City,313.0,29.99,4.0,194.0,other
Friends Advent Calendar,Friends,500.0,29.99,4.0,202.0,other
Arctic Ice Crawler,City,200.0,24.99,92.0,80.0,other
Burger Bar Fire Rescue,City,327.0,39.99,164.0,153.0,other
My First Puzzle Pets,DUPLO,18.0,9.99,9.0,16.0,other
1968 Ford Mustang Fastback,Speed Champions,183.0,14.99,60.0,74.0,transport
Elite Praetorian Guard Battle Pack,Star Wars,109.0,14.99,40.0,52.0,other
Wonder Woman vs. Cheetah,DC,371.0,39.99,84.0,130.0,other
Jay's Storm Fighter,NINJAGO,490.0,39.99,140.0,195.0,transport
Forest Tractor,City,174.0,19.99,64.0,77.0,transport
Mia's Horse Trailer,Friends,216.0,29.99,76.0,119.0,transport
Andrea's Bedroom,Friends,85.0,9.99,44.0,60.0,other
Mountain Police Chase,Juniors,115.0,19.99,64.0,85.0,other
Daredevil Stunt Plane,Creator 3-in-1,200.0,19.99,120.0,86.0,transport
Rocket Rally Car,Creator 3-in-1,241.0,19.99,148.0,104.0,transport
Dr. Fox Laboratory,Unikitty,359.0,29.99,132.0,163.0,building
Police Helicopter Chase,City,212.0,39.99,128.0,127.0,transport
Stephanie's Obstacle Course,Friends,337.0,39.99,100.0,168.0,other
Baking Competition,Friends,361.0,39.99,104.0,157.0,other
Golden Mech,NINJAGO,489.0,39.99,108.0,172.0,other
Batman Batsub and the Underwater Clash,Batman,174.0,19.99,64.0,82.0,other
Batmobile: Pursuit of The Joker,Batman,342.0,29.99,80.0,114.0,other
Friends Advent Calendar,Friends,330.0,29.99,2.0,158.0,other
Mojo Jojo Strikes,Powerpuff Girls,228.0,29.99,76.0,149.0,other
Bricks and Gears,Classic,244.0,19.99,124.0,94.0,other
The Skull Arena,Minecraft,198.0,19.99,68.0,68.0,building
Mia's Bedroom,Friends,86.0,9.99,48.0,63.0,other
Han Solo's Landspeeder,Star Wars,345.0,29.99,96.0,126.0,transport
Chewbacca,Star Wars,149.0,9.99,40.0,52.0,other
Farmers' Market,DUPLO,26.0,19.99,9.0,18.0,building
Inferno Squad Battle Pack,Star Wars,118.0,14.99,40.0,52.0,other
Spider-Man: Doc Ock Diamond Heist,Marvel,150.0,29.99,96.0,98.0,other
Batman: Brother Eye Takedown,Batman,269.0,29.99,76.0,103.0,other
Mr. Freeze Batcycle Battle,Batman,200.0,19.99,68.0,97.0,other
Outback Adventures,Creator 3-in-1,225.0,19.99,148.0,103.0,other
Jedi and Clone Troopers Battle Pack,Star Wars,102.0,14.99,32.0,54.0,other
Ferrari 488 GT3 Scuderia Corsa,Speed Champions,179.0,14.99,56.0,78.0,transport
The Bat-Dune Buggy,DC,198.0,19.99,64.0,92.0,transport
