Set_Name,Theme,Pieces,Price,Pages,Unique_Pieces
Benny's Space Squad,THE LEGO MOVIE 2,68.0,9.99,32.0,53.0
Drone Explorer,Creator 3-in-1,109.0,9.99,80.0,56.0
Lloyd's Journey,NINJAGO,81.0,14.99,36.0,50.0
Olivia's Hamster Playground,Friends,81.0,9.99,40.0,52.0
Desk Organiser,DOTS,405.0,19.99,4.0,44.0
Elsa,BrickHeadz,130.0,9.99,44.0,48.0
Snowspeeder,Star Wars,91.0,19.99,56.0,64.0
Hogwarts Room of Requirement,Harry Potter,193.0,19.99,60.0,90.0
Dr. Wu's Lab: Baby Dinosaurs Breakout,Jurassic World,164.0,19.99,64.0,100.0
Heartlake City Park Café,Friends,224.0,19.99,72.0,117.0
Spider-Man vs. Doc Ock,Marvel,234.0,19.99,72.0,80.0
Ferrari F8 Tributo,Speed Champions,275.0,19.99,72.0,92.0
1985 Audi Sport Quattro S1,Speed Champions,250.0,19.99,76.0,102.0
Bricks and Houses,Classic,270.0,19.99,77.0,121.0
The Mandalorian & The Child,Star Wars,295.0,19.99,88.0,123.0
Emmet and Benny's 'Build and Fix' Workshop!,THE LEGO MOVIE 2,117.0,19.99,48.0,73.0
Jewellery Box,DOTS,374.0,19.99,3.0,35.0
Pineapple Pencil Holder,DOTS,351.0,19.99,4.0,39.0
Duke Caboom's Stunt Show,Disney,120.0,19.99,48.0,62.0
Golden Dragon Master,NINJAGO,92.0,14.99,48.0,54.0
J.B.'s Submarine,Hidden Side,224.0,19.99,64.0,120.0
Battle-Ready Batman and MetalBeard,Batman,168.0,19.99,64.0,98.0
Baby Elephant Jungle Rescue,Friends,203.0,19.99,68.0,111.0
Dragster,Technic,225.0,19.99,80.0,68.0
Wrecking Ball,Overwatch,227.0,19.99,84.0,78.0
Getaway Truck,Technic,128.0,19.99,110.0,33.0
Kai - Dragon Master,NINJAGO,92.0,14.99,48.0,53.0
Rey,Star Wars,119.0,9.99,36.0,50.0
Batman vs. The Riddler Robbery,Batman,59.0,9.99,36.0,44.0
World Fun,Classic,295.0,19.99,53.0,149.0
Baby Animals,DUPLO,9.0,9.99,8.0,9.0
Mining Power Splitter,City,127.0,19.99,60.0,85.0
Buzz and Bo Peep's Playground Adventure,Disney,139.0,24.99,48.0,85.0
Tracer vs. Widowmaker,Overwatch,129.0,14.99,48.0,74.0
Spinjitzu Slam - Kai vs. Samurai,NINJAGO,164.0,19.99,76.0,67.0
Outrider Dropship Attack,Marvel,124.0,14.99,52.0,63.0
Han Solo,Star Wars,101.0,24.99,44.0,55.0
Shuttle Transporter,Creator 3-in-1,341.0,24.99,268.0,122.0
Alphabet Truck,DUPLO,36.0,24.99,1.0,35.0
Train Bridge and Tracks,DUPLO,26.0,24.99,16.0,10.0
Mining Team,City,82.0,9.99,32.0,64.0
Elsa's Market Adventure,Disney,125.0,19.99,48.0,78.0
Drone Chase,City,192.0,29.99,100.0,112.0
Jay - Dragon Master,NINJAGO,92.0,14.99,48.0,53.0
Airport,DUPLO,29.0,24.99,20.0,24.0
Minecraft Alex BigFig with Chicken,Minecraft,160.0,14.99,40.0,70.0
Cherry Picker,Technic,155.0,9.99,40.0,51.0
Molten Man Battle,Spider-Man,294.0,29.99,76.0,117.0
Spider-Man Car Chase,Marvel,52.0,9.99,36.0,38.0
J.B.'s Ghost Lab,Hidden Side,174.0,19.99,64.0,104.0
Hoth Generator Attack,Star Wars,235.0,29.99,68.0,101.0
Kylo Ren,Star Wars,130.0,9.99,40.0,50.0
Kayak Adventure,City,84.0,9.99,36.0,48.0
Plane,DUPLO,12.0,9.99,10.0,11.0
Airshow Jet,City,87.0,9.99,56.0,53.0
Sith Infiltrator Microfighter,Star Wars,92.0,9.99,40.0,45.0
Star-Lord,BrickHeadz,113.0,9.99,40.0,51.0
Dock Side Fire,City,97.0,19.99,48.0,63.0
Graveyard Mystery,Hidden Side,335.0,29.99,112.0,160.0
Fire Helicopter Response,City,93.0,29.99,44.0,61.0
Hungarian Horntail Triwizard Challenge,Harry Potter,265.0,29.99,52.0,101.0
Elsa and the Reindeer Carriage,LEGO Frozen 2,116.0,29.99,72.0,78.0
Racing Cars,City,190.0,29.99,84.0,101.0
Ultrakatty & Warrior Lucy!,THE LEGO MOVIE 2,348.0,29.99,92.0,119.0
Lonesome Flats Raft Adventure,Trolls World Tour,159.0,29.99,100.0,110.0
Cinderella's Castle Celebration,Disney,168.0,29.99,100.0,96.0
Wrecked Shrimp Boat,Hidden Side,310.0,29.99,108.0,150.0
Jay and Lloyd's Velocity Racers,NINJAGO,322.0,29.99,148.0,142.0
Underwater Loop,Friends,389.0,29.99,76.0,165.0
Fire Chief Response Truck,City,201.0,29.99,84.0,98.0
Windows of Creativity,Classic,450.0,29.99,85.0,153.0
Rover Testing Drive,City,202.0,29.99,96.0,98.0
Shuricopter,NINJAGO,361.0,29.99,100.0,163.0
The Blaze Bridge,Minecraft,372.0,29.99,108.0,127.0
2018 Dodge Challenger SRT Demon and 1970 Dodge Charger R/T,Speed Champions,478.0,29.99,124.0,159.0
Hanzo vs. Genji,Overwatch,197.0,19.99,60.0,84.0
Resistance A-wing Starfighter,Star Wars,269.0,29.99,84.0,112.0
Mia's Organic Food Market,Friends,115.0,19.99,56.0,70.0
Poppy's Air Balloon Adventure,Trolls World Tour,250.0,29.99,68.0,121.0
Bracelet Mega Pack,DOTS,300.0,24.99,2.0,39.0
First Order TIE Fighter Microfighter,Star Wars,91.0,9.99,40.0,47.0
Nya - Spinjitzu Master,NINJAGO,69.0,9.99,32.0,43.0
Pteranodon Escape,Juniors,84.0,19.99,56.0,60.0
The Pillager Outpost,Minecraft,303.0,29.99,68.0,94.0
The Menace of Mysterio,Marvel,163.0,29.99,128.0,97.0
Minecraft Skeleton BigFig with Magma Cube,Minecraft,142.0,14.99,40.0,56.0
Monster Truck,City,192.0,19.99,76.0,76.0
Brick Box,DUPLO,65.0,29.99,20.0,46.0
Police Highway Arrest,City,185.0,29.99,108.0,98.0
My First Animal Brick Box,DUPLO,34.0,29.99,9.0,29.0
Super Heroes Lab,DUPLO,30.0,29.99,16.0,23.0
Gamer's Market,NINJAGO,218.0,29.99,64.0,133.0
Nature Glamping,Friends,241.0,29.99,72.0,110.0
Empire Dragon,NINJAGO,286.0,29.99,80.0,118.0
Olivia's Cupcake Cafe,Friends,335.0,29.99,100.0,185.0
Race Boat Transporter,City,238.0,29.99,124.0,123.0
Wild River Escape,City,126.0,19.99,56.0,71.0
Service & Care Truck,Friends,247.0,19.99,84.0,123.0
War Machine Buster,Marvel,362.0,34.99,64.0,122.0
El Fuego's Stunt Truck,Hidden Side,428.0,39.99,156.0,198.0
Anakin's Jedi Starfighter,Star Wars,247.0,19.99,84.0,111.0
The Golden Dragon,NINJAGO,171.0,19.99,60.0,74.0
Tatooine Battle Pack,Star Wars,97.0,14.99,36.0,53.0
Obi-Wan's Hut,Star Wars,200.0,29.99,68.0,118.0
Mythical Creatures,Creator 3-in-1,223.0,14.99,189.0,66.0
Heart Box Friendship Pack,Friends,199.0,19.99,60.0,90.0
RV Vacation,Disney,178.0,34.99,72.0,106.0
Mighty Micros: Thor vs. Loki,Marvel,79.0,9.99,7.0,47.0
Duel on Starkiller Base,Star Wars,191.0,19.99,68.0,83.0
Stephanie's Bedroom,Friends,95.0,9.99,44.0,72.0
Race Plane,Creator 3-in-1,333.0,29.99,200.0,134.0
Action Battle Endor Assault,Star Wars,193.0,29.99,64.0,108.0
Ski Speeder vs. First Order Walker Microfighters,Star Wars,216.0,19.99,92.0,94.0
Anakin's Podracer  20th Anniversary Edition,Star Wars,279.0,29.99,84.0,110.0
Spinjitzu Jay,NINJAGO,97.0,9.99,32.0,23.0
Spinjitzu Cole,NINJAGO,117.0,9.99,32.0,26.0
Dilophosaurus on the Loose,Jurassic World,168.0,19.99,60.0,88.0
Minecraft Steve BigFig with Parrot,Minecraft,159.0,14.99,40.0,74.0
Luke Skywalker's Landspeeder,Star Wars,236.0,29.99,72.0,104.0
Jay - Spinjitzu Master,NINJAGO,68.0,9.99,32.0,39.0
Spinjitzu Nya & Wu,NINJAGO,227.0,19.99,56.0,49.0
Aragog's Lair,Harry Potter,157.0,14.99,56.0,82.0
Anakin's Jedi Interceptor,Star Wars,248.0,29.99,68.0,100.0
A-Wing vs. TIE Silencer Microfighters,Star Wars,188.0,19.99,72.0,88.0
Velociraptor: Biplane Rescue Mission,Jurassic World,101.0,29.99,76.0,72.0
Forbidden Forest: Umbridge's Encounter,Harry Potter,253.0,29.99,84.0,121.0
Spiderjet vs. Venom Mech,Marvel,371.0,29.99,84.0,136.0
El Fuego's Stunt Plane,Hidden Side,295.0,29.99,92.0,149.0
Newbury Subway,Hidden Side,348.0,29.99,108.0,146.0
Emma's Fashion Shop,Friends,343.0,29.99,112.0,152.0
Panda Jungle Tree House,Friends,265.0,29.99,120.0,149.0
Formula E Panasonic Jaguar Racing GEN2 Car & Jaguar I-PACE eTROPHY,Speed Champions,565.0,29.99,128.0,186.0
BASH!,Technic,139.0,19.99,127.0,46.0
Bakery,DUPLO,46.0,34.99,20.0,33.0
Police Station,DUPLO,38.0,29.99,22.0,25.0
Kai - Spinjitzu Master,NINJAGO,61.0,9.99,32.0,33.0
First Order Specialists Battle Pack,Star Wars,108.0,14.99,36.0,48.0
X-wing Starfighter Trench Run,Star Wars,132.0,29.99,64.0,65.0
Supernatural Race Car,Hidden Side,244.0,29.99,80.0,115.0
Spinjitzu Kai,NINJAGO,97.0,9.99,32.0,23.0
Ariel's Underwater Concert,Juniors,92.0,14.99,40.0,55.0
Emmet and Lucy's Visitors from the DUPLO Planet,THE LEGO MOVIE 2,53.0,29.99,25.0,37.0
Ford Fiesta M-Sport WRC,Speed Champions,203.0,14.99,60.0,88.0
Off-Road Chase,City,37.0,6.99,20.0,28.0
Queen Watevra's Build Whatever Box!,THE LEGO MOVIE 2,455.0,39.99,262.0,112.0
Turtles Rescue Mission,Friends,225.0,19.99,72.0,125.0
Parachute Arrest,City,218.0,39.99,120.0,139.0
City Advent Calendar,City,234.0,29.99,3.0,161.0
Pteranodon Chase,Jurassic World,126.0,19.99,44.0,68.0
Dolphins Rescue Mission,Friends,363.0,39.99,116.0,192.0
Spider-Man Bike Rescue,Marvel,235.0,19.99,92.0,98.0
People Pack - Fun Fair,City,183.0,39.99,64.0,138.0
Elsa's Jewellery Box,LEGO Frozen 2,300.0,39.99,96.0,89.0
Ninja Tuner Car,NINJAGO,419.0,39.99,108.0,143.0
Mars Research Shuttle,City,273.0,39.99,160.0,135.0
The Knight Bus,Harry Potter,403.0,39.99,84.0,128.0
Fire Fang,NINJAGO,463.0,39.99,88.0,175.0
My First Emotions,DUPLO,28.0,19.99,9.0,24.0
Batman: The Attack of the Talons,Batman,155.0,19.99,60.0,82.0
Buzz & Woody's Carnival Mania!,Disney,230.0,49.99,52.0,106.0
Volcano Rock City Concert,Trolls World Tour,387.0,39.99,120.0,175.0
Stephanie's Buggy & Trailer ,Friends,166.0,19.99,48.0,97.0
Road Repair Truck,Juniors,73.0,9.99,32.0,50.0
Heartlake City Supermarket,Friends,140.0,29.99,68.0,90.0
Katana V11,NINJAGO,257.0,19.99,84.0,111.0
Elastigirl's Rooftop Pursuit,Juniors,95.0,19.99,64.0,77.0
Rescue Helicopter,Technic,325.0,39.99,181.0,81.0
Belle's Story Time,Juniors,87.0,14.99,44.0,66.0
Thanos,BrickHeadz,105.0,9.99,32.0,37.0
Spider-Man vs. Scorpion Street Showdown,Marvel,125.0,19.99,64.0,82.0
City Advent Calendar,City,313.0,29.99,4.0,194.0
Friends Advent Calendar,Friends,500.0,29.99,4.0,202.0
Arctic Ice Crawler,City,200.0,24.99,92.0,80.0
Burger Bar Fire Rescue,City,327.0,39.99,164.0,153.0
My First Puzzle Pets,DUPLO,18.0,9.99,9.0,16.0
1968 Ford Mustang Fastback,Speed Champions,183.0,14.99,60.0,74.0
Elite Praetorian Guard Battle Pack,Star Wars,109.0,14.99,40.0,52.0
Wonder Woman vs. Cheetah,DC,371.0,39.99,84.0,130.0
Jay's Storm Fighter,NINJAGO,490.0,39.99,140.0,195.0
Forest Tractor,City,174.0,19.99,64.0,77.0
Mia's Horse Trailer,Friends,216.0,29.99,76.0,119.0
Andrea's Bedroom,Friends,85.0,9.99,44.0,60.0
Mountain Police Chase,Juniors,115.0,19.99,64.0,85.0
Daredevil Stunt Plane,Creator 3-in-1,200.0,19.99,120.0,86.0
Rocket Rally Car,Creator 3-in-1,241.0,19.99,148.0,104.0
Dr. Fox Laboratory,Unikitty,359.0,29.99,132.0,163.0
Police Helicopter Chase,City,212.0,39.99,128.0,127.0
Stephanie's Obstacle Course,Friends,337.0,39.99,100.0,168.0
Baking Competition,Friends,361.0,39.99,104.0,157.0
Golden Mech,NINJAGO,489.0,39.99,108.0,172.0
Batman Batsub and the Underwater Clash,Batman,174.0,19.99,64.0,82.0
Batmobile: Pursuit of The Joker,Batman,342.0,29.99,80.0,114.0
Friends Advent Calendar,Friends,330.0,29.99,2.0,158.0
Mojo Jojo Strikes,Powerpuff Girls,228.0,29.99,76.0,149.0
Bricks and Gears,Classic,244.0,19.99,124.0,94.0
The Skull Arena,Minecraft,198.0,19.99,68.0,68.0
Mia's Bedroom,Friends,86.0,9.99,48.0,63.0
Han Solo's Landspeeder,Star Wars,345.0,29.99,96.0,126.0
Chewbacca,Star Wars,149.0,9.99,40.0,52.0
Farmers' Market,DUPLO,26.0,19.99,9.0,18.0
Inferno Squad Battle Pack,Star Wars,118.0,14.99,40.0,52.0
Spider-Man: Doc Ock Diamond Heist,Marvel,150.0,29.99,96.0,98.0
Batman: Brother Eye Takedown,Batman,269.0,29.99,76.0,103.0
Mr. Freeze Batcycle Battle,Batman,200.0,19.99,68.0,97.0
Outback Adventures,Creator 3-in-1,225.0,19.99,148.0,103.0
Jedi and Clone Troopers Battle Pack,Star Wars,102.0,14.99,32.0,54.0
Ferrari 488 GT3 Scuderia Corsa,Speed Champions,179.0,14.99,56.0,78.0
The Bat-Dune Buggy,DC,198.0,19.99,64.0,92.0
Ambulance Helicopter,City,190.0,19.99,84.0,108.0
LEGO Movie Maker,THE LEGO MOVIE 2,482.0,49.99,96.0,243.0
Creative Tuning Shop,Friends,413.0,39.99,108.0,217.0
Dorado Showdown,Overwatch,419.0,29.99,124.0,168.0
Stormtrooper,Star Wars,124.0,9.99,32.0,51.0
Spinjitzu Lloyd vs. Garmadon,NINJAGO,208.0,19.99,52.0,44.0
Dozer Compactor,Technic,171.0,19.99,100.0,62.0
Beauxbatons' Carriage: Arrival at Hogwarts ,Harry Potter,430.0,49.99,84.0,160.0
Star Wars Advent Calendar,Star Wars,307.0,39.99,4.0,186.0
My First Celebration,DUPLO,41.0,14.99,9.0,18.0
Rhino Face-Off by the Mine,Marvel,229.0,19.99,88.0,100.0
Iron Man Hulkbuster versus A.I.M. Agent,Marvel,456.0,39.99,80.0,143.0
Junkrat & Roadhog,Overwatch,380.0,49.99,92.0,168.0
Tiger Hot Air Balloon Jungle Rescue,Friends,302.0,39.99,116.0,145.0
Avengers Truck Take-down,Marvel,477.0,39.99,116.0,164.0
Ocean Exploration Submarine,City,286.0,39.99,141.0,131.0
Townhouse Toy Store,Creator 3-in-1,554.0,39.99,268.0,194.0
Space Rover Explorer,Creator 3-in-1,510.0,39.99,276.0,206.0
Riverside Houseboat,Creator 3-in-1,396.0,39.99,200.0,157.0
Iron Man MK50,BrickHeadz,101.0,9.99,32.0,41.0
Rebel A-wing Starfighter,Star Wars,62.0,14.99,36.0,44.0
Rapunzel's Castle Bedroom,Disney,156.0,19.99,56.0,93.0
Zane's Ninja Boat Pursuit,Juniors,131.0,19.99,64.0,78.0
Stephanie's Gymnastics Show,Friends,241.0,29.99,76.0,114.0
The Redstone Battle,Minecraft,504.0,39.99,88.0,133.0
Creative Fun,Classic,900.0,39.99,90.0,231.0
